NOMB_SERVI;CODI_SENTI;POSI_PC;LONGITUD;LATITUD;DISTANCIA;SEGUIMIENTO;ICR;IP;PONDERADOR;URBANO
104;0;1;-70,387464;-23,550549;440,57;1;1;1;0,9;1
104;0;2;-70,391175;-23,559483;1781,73;1;1;0;0,05;1
104;0;3;-70,383100;-23,565941;3392;1;0;0;0;1
104;0;4;-70,380074;-23,567920;3907,11;1;0;0;0;1
104;0;5;-70,376841;-23,569116;4382,67;1;0;0;0;1
104;0;6;-70,382142;-23,573484;5437,09;1;0;0;0;1
104;0;7;-70,374956;-23,576353;6475,11;1;0;0;0;1
104;0;8;-70,383032;-23,581342;7843,88;1;0;0;0;1
104;0;9;-70,382730;-23,585517;8398,08;1;0;0;0;1
104;0;10;-70,378548;-23,592426;9631,19;1;0;0;0;1
104;0;11;-70,374852;-23,599452;10845,07;1;0;0;0;1
104;0;12;-70,378165;-23,610145;12267,94;1;0;0;0;1
104;0;13;-70,384454;-23,632057;15264,69;1;0;0;0;1
104;0;14;-70,397879;-23,648445;18239,61;1;0;0;0;1
104;0;15;-70,399001;-23,668106;20920,72;1;0;0;0;1
104;0;16;-70,409510;-23,678731;22916,59;1;0;0;0;1
104;0;17;-70,423604;-23,702226;26266,22;1;0;0;0;1
104;0;18;-70,440243;-23,734661;30476,49;1;1;0;0,05;0
104;1;1;-70,440404;-23,735081;300,76;1;1;0;0,9;0
104;1;2;-70,423490;-23,702243;4559,93;1;1;0;0,05;1
104;1;3;-70,409430;-23,678744;7920,38;1;0;0;0;1
104;1;4;-70,404317;-23,672720;8976,02;1;0;0;0;1
104;1;5;-70,401066;-23,669938;9569,04;1;0;0;0;1
104;1;6;-70,396700;-23,664990;10412,1;1;0;0;0;1
104;1;7;-70,394161;-23,657110;11584,83;1;0;0;0;1
104;1;8;-70,401901;-23,647395;13050,57;1;0;0;0;1
104;1;9;-70,398341;-23,647397;13565,4;1;0;0;0;1
104;1;10;-70,391249;-23,648425;14626,99;1;0;0;0;1
104;1;11;-70,386425;-23,638919;15876,33;1;0;0;0;1
104;1;12;-70,385091;-23,631041;16922,34;1;0;0;0;1
104;1;13;-70,377409;-23,629347;17780,32;1;0;0;0;1
104;1;14;-70,379101;-23,621291;19140,53;1;0;0;0;1
104;1;15;-70,378165;-23,610147;20504,49;1;0;0;0;1
104;1;16;-70,376409;-23,601567;21539,1;1;0;0;0;1
104;1;17;-70,374853;-23,599461;21926,59;1;0;0;0;1
104;1;18;-70,377415;-23,597241;22495,22;1;0;0;0;1
104;1;19;-70,378548;-23,592430;23141,02;1;0;0;0;1
104;1;20;-70,380019;-23,586614;23915,47;1;0;0;0;1
104;1;21;-70,381250;-23,583971;24321,99;1;0;0;0;1
104;1;22;-70,380674;-23,578547;25020,06;1;0;0;0;1
104;1;23;-70,378250;-23,575460;26270,09;1;0;0;0;1
104;1;24;-70,382142;-23,573483;26902,1;1;0;0;0;1
104;1;25;-70,379514;-23,569675;27650,49;1;0;0;0;1
104;1;26;-70,377594;-23,569543;28233,17;1;0;0;0;1
104;1;27;-70,384818;-23,564537;29487,16;1;0;0;0;1
104;1;28;-70,391063;-23,563513;30305,53;1;0;0;0;1
104;1;29;-70,391340;-23,555423;31202,12;1;1;0;0,05;1
104N;1;1;-70,440404;-23,735081;300,76;1;1;0;0,9;0
104N;1;2;-70,423490;-23,702243;4559,93;1;1;0;0,05;1
104N;1;3;-70,409430;-23,678744;7920,38;1;0;0;0;1
104N;1;4;-70,404282;-23,672646;8984,8;1;0;0;0;1
104N;1;5;-70,401066;-23,669938;9569,21;1;0;0;0;1
104N;1;6;-70,396700;-23,664990;10412,28;1;0;0;0;1
104N;1;7;-70,394161;-23,657110;11585,01;1;0;0;0;1
104N;1;8;-70,401901;-23,647395;13050,74;1;0;0;0;1
104N;1;9;-70,398341;-23,647397;13565,57;1;0;0;0;1
104N;1;10;-70,391249;-23,648425;14627,16;1;0;0;0;1
104N;1;11;-70,386425;-23,638919;15876,5;1;0;0;0;1
104N;1;12;-70,385091;-23,631041;16922,52;1;0;0;0;1
104N;1;13;-70,377409;-23,629347;17780,49;1;0;0;0;1
104N;1;14;-70,379101;-23,621291;19140,71;1;0;0;0;1
104N;1;15;-70,378165;-23,610147;20504,67;1;0;0;0;1
104N;1;16;-70,376409;-23,601567;21539,27;1;0;0;0;1
104N;1;17;-70,374853;-23,599461;21926,76;1;0;0;0;1
104N;1;18;-70,377415;-23,597241;22495,4;1;0;0;0;1
104N;1;19;-70,378548;-23,592430;23141,2;1;0;0;0;1
104N;1;20;-70,380019;-23,586614;23915,64;1;0;0;0;1
104N;1;21;-70,381250;-23,583971;24322,17;1;0;0;0;1
104N;1;22;-70,380674;-23,578547;25020,23;1;0;0;0;1
104N;1;23;-70,378250;-23,575460;26270,27;1;0;0;0;1
104N;1;24;-70,382142;-23,573483;26902,27;1;0;0;0;1
104N;1;25;-70,379325;-23,568681;27812,33;1;0;0;0;1
104N;1;26;-70,377594;-23,569543;28233,34;1;0;0;0;1
104N;1;27;-70,384818;-23,564537;29487,34;1;1;0;0,05;1
104Y1;1;1;-70,391797;-23,648944;351,68;1;1;0;0,9;1
104Y1;1;2;-70,386425;-23,638919;1681,21;1;1;0;0,05;1
104Y1;1;3;-70,385091;-23,631041;2727,23;1;0;0;0;1
104Y1;1;4;-70,377409;-23,629347;3585,21;1;0;0;0;1
104Y1;1;5;-70,379101;-23,621291;4945,42;1;0;0;0;1
104Y1;1;6;-70,378165;-23,610147;6309,38;1;0;0;0;1
104Y1;1;7;-70,376409;-23,601567;7343,99;1;0;0;0;1
104Y1;1;8;-70,374853;-23,599461;7731,47;1;0;0;0;1
104Y1;1;9;-70,377415;-23,597241;8300,11;1;0;0;0;1
104Y1;1;10;-70,378548;-23,592430;8945,91;1;0;0;0;1
104Y1;1;11;-70,380019;-23,586614;9720,36;1;0;0;0;1
104Y1;1;12;-70,381250;-23,583971;10126,88;1;0;0;0;1
104Y1;1;13;-70,380674;-23,578547;10824,95;1;0;0;0;1
104Y1;1;14;-70,378250;-23,575460;12074,98;1;0;0;0;1
104Y1;1;15;-70,382142;-23,573483;12706,98;1;0;0;0;1
104Y1;1;16;-70,379325;-23,568681;13617,04;1;0;0;0;1
104Y1;1;17;-70,377594;-23,569543;14038,06;1;0;0;0;1
104Y1;1;18;-70,383100;-23,565940;14955,58;1;0;0;0;1
104Y1;1;19;-70,391063;-23,563513;16110,41;1;0;0;0;1
104Y1;1;20;-70,391340;-23,555423;17007;1;1;0;0,05;1
104V;0;1;-70,387407;-23,550546;434,72;1;1;0;0,9;1
104V;0;2;-70,391175;-23,559483;1781,73;1;1;0;0,05;1
104V;0;3;-70,383100;-23,565941;3392;1;0;0;0;1
104V;0;4;-70,380815;-23,575702;4603,05;1;0;0;0;1
104V;0;5;-70,379441;-23,578696;5058,58;1;0;0;0;1
104V;0;6;-70,378726;-23,589558;6264,27;1;0;0;0;1
104V;0;7;-70,377372;-23,594588;6907,02;1;0;0;0;1
104V;0;8;-70,378168;-23,610055;8680,31;1;0;0;0;1
104V;0;9;-70,375382;-23,620713;9950,68;1;0;0;0;1
104V;0;10;-70,378639;-23,628761;11019,88;1;0;0;0;1
104V;0;11;-70,389342;-23,629528;12266,72;1;0;0;0;1
104V;0;12;-70,390564;-23,645422;14124,07;1;0;0;0;1
104V;0;13;-70,397879;-23,648445;15144,87;1;0;0;0;1
104V;0;14;-70,399662;-23,652714;15825,04;1;0;0;0;1
104V;0;15;-70,397453;-23,663382;17258,68;1;0;0;0;1
104V;0;16;-70,404759;-23,672446;18841,89;1;0;0;0;1
104V;0;17;-70,409510;-23,678731;19864,7;1;0;0;0;1
104V;0;18;-70,413539;-23,683920;20642,1;1;0;0;0;1
104V;0;19;-70,423604;-23,702226;23214,34;1;0;0;0;1
104V;0;20;-70,429322;-23,708680;24252,25;1;0;0;0;1
104V;0;21;-70,440213;-23,734595;27416,68;1;1;0;0,05;1
104V;1;1;-70,440404;-23,735081;300,76;1;1;0;0,9;1
104V;1;2;-70,431552;-23,710316;3215,99;1;1;0;0,05;1
104V;1;3;-70,423490;-23,702243;4559,93;1;0;0;0;1
104V;1;4;-70,413524;-23,683931;7127,55;1;0;0;0;1
104V;1;5;-70,409430;-23,678744;7920,38;1;0;0;0;1
104V;1;6;-70,404822;-23,672508;8919,41;1;0;0;0;1
104V;1;7;-70,397355;-23,663444;10526,71;1;0;0;0;1
104V;1;8;-70,395284;-23,655542;11438,17;1;0;0;0;1
104V;1;9;-70,395996;-23,648306;12548,01;1;0;0;0;1
104V;1;10;-70,388910;-23,645053;13698,58;1;0;0;0;1
104V;1;11;-70,389340;-23,629555;15425,57;1;0;0;0;1
104V;1;12;-70,378643;-23,628760;16674,99;1;0;0;0;1
104V;1;13;-70,375380;-23,620702;17745,84;1;0;0;0;1
104V;1;14;-70,378169;-23,610051;19015,42;1;0;0;0;1
104V;1;15;-70,377366;-23,594579;20789,43;1;0;0;0;1
104V;1;16;-70,379441;-23,578696;22636,7;1;0;0;0;1
104V;1;17;-70,383097;-23,565962;24154,39;1;0;0;0;1
104V;1;18;-70,391063;-23,563513;25311,69;1;0;0;0;1
104V;1;19;-70,391340;-23,555423;26208,28;1;1;0;0,05;1
