CODI_SERVI;NOMB_SERVI;CODI_SENTI;PERI_HORA;TIPO_DIA;EXIGIDO;DEMANDA
376;104;0;6;0;8;2
376;104;0;7;0;11;2
376;104;0;8;0;11;2
376;104;0;9;0;8;2
376;104;0;10;0;8;2
376;104;0;11;0;8;2
376;104;0;12;0;8;2
376;104;0;13;0;8;2
376;104;0;14;0;8;2
376;104;0;15;0;9;2
376;104;0;16;0;9;2
376;104;0;17;0;8;2
376;104;0;18;0;6;2
376;104;0;19;0;4;2
376;104;1;7;0;4;2
376;104;1;8;0;9;2
376;104;1;9;0;9;2
376;104;1;10;0;8;2
376;104;1;11;0;8;2
376;104;1;12;0;8;2
376;104;1;13;0;8;2
376;104;1;14;0;8;2
376;104;1;15;0;8;2
376;104;1;16;0;9;2
376;104;1;17;0;9;2
376;104;1;18;0;8;2
376;104;1;19;0;6;2
376;104;0;6;1;4;2
376;104;0;7;1;6;2
376;104;0;8;1;7;2
376;104;0;9;1;7;2
376;104;0;10;1;7;2
376;104;0;11;1;7;2
376;104;0;12;1;7;2
376;104;0;13;1;7;2
376;104;0;14;1;7;2
376;104;0;15;1;7;2
376;104;0;16;1;7;2
376;104;0;17;1;5;2
376;104;0;18;1;3;2
376;104;1;7;1;2;2
376;104;1;8;1;5;2
376;104;1;9;1;6;2
376;104;1;10;1;7;2
376;104;1;11;1;7;2
376;104;1;12;1;7;2
376;104;1;13;1;7;2
376;104;1;14;1;7;2
376;104;1;15;1;7;2
376;104;1;16;1;7;2
376;104;1;17;1;6;2
376;104;1;18;1;5;2
376;104;1;19;1;3;2
376;104;0;7;2;2;2
376;104;0;8;2;6;2
376;104;0;9;2;6;2
376;104;0;10;2;6;2
376;104;0;11;2;6;2
376;104;0;12;2;6;2
376;104;0;13;2;6;2
376;104;0;14;2;6;2
376;104;0;15;2;6;2
376;104;0;16;2;6;2
376;104;0;17;2;5;2
376;104;0;18;2;2;2
376;104;1;8;2;1;2
376;104;1;9;2;4;2
376;104;1;10;2;6;2
376;104;1;11;2;6;2
376;104;1;12;2;6;2
376;104;1;13;2;6;2
376;104;1;14;2;6;2
376;104;1;15;2;6;2
376;104;1;16;2;6;2
376;104;1;17;2;6;2
376;104;1;18;2;5;2
376;104;1;19;2;2;2
377;104N;1;20;0;4;2
378;104Y1;1;4;0;4;2
