IDDE;DNI1;DNI2;PERIODO;ID_SERVI;NOMBRE_SERVI;CODI_SENTI;PATENTE;CODI_EXPE;FECH_CHI;FECH_UTC;POSI_PUNTO;LATITUD;LONGITUD;VELOCIDAD;PASO_HORA_CHL;PASO_HORA_UTC;PERIODO_HORA;VALIDA;EXTRA
HYYY88-01/06/2021 20:04:12-1;96711420;77130027;202106;376;104;1;HYYY88;22592252;01/06/2021 20:04:12;02/06/2021 00:04:12;1;-23.735081;-70.440404;0;01/06/2021 20:04:12;02/06/2021 00:04:12;20;0;0
HYYY88-01/06/2021 20:04:12-2;96711420;77130027;202106;376;104;1;HYYY88;22592252;01/06/2021 20:04:12;02/06/2021 00:04:12;2;-23.702243;-70.423490;0;01/06/2021 20:04:12;02/06/2021 00:04:12;20;0;0
HYYY88-01/06/2021 20:04:12-3;96711420;77130027;202106;376;104;1;HYYY88;22592252;01/06/2021 20:04:12;02/06/2021 00:04:12;3;-23,678988;-70,409663;32;01/06/2021 20:09:02;02/06/2021 00:09:02;20;0;0
HYYY88-01/06/2021 20:04:12-4;96711420;77130027;202106;376;104;1;HYYY88;22592252;01/06/2021 20:04:12;02/06/2021 00:04:12;4;-23,672683;-70,404358;25;01/06/2021 20:11:41;02/06/2021 00:11:41;20;0;0
HYYY88-01/06/2021 20:04:12-5;96711420;77130027;202106;376;104;1;HYYY88;22592252;01/06/2021 20:04:12;02/06/2021 00:04:12;5;-23.669938;-70.401066;23;01/06/2021 20:17:33;02/06/2021 00:17:33;20;0;0
HYYY88-01/06/2021 20:04:12-6;96711420;77130027;202106;376;104;1;HYYY88;22592252;01/06/2021 20:04:12;02/06/2021 00:04:12;6;-23.664990;-70.396700;15;01/06/2021 20:19:34;02/06/2021 00:19:34;20;0;0
HYYY88-01/06/2021 20:04:12-7;96711420;77130027;202106;376;104;1;HYYY88;22592252;01/06/2021 20:04:12;02/06/2021 00:04:12;7;-23.657110;-70.394161;28;01/06/2021 20:41:53;02/06/2021 00:41:53;20;0;0
HYYY88-01/06/2021 20:04:12-8;96711420;77130027;202106;376;104;1;HYYY88;22592252;01/06/2021 20:04:12;02/06/2021 00:04:12;8;-23.647395;-70.401901;18;01/06/2021 20:47:32;02/06/2021 00:47:32;20;0;0
HYYY88-01/06/2021 20:04:12-9;96711420;77130027;202106;376;104;1;HYYY88;22592252;01/06/2021 20:04:12;02/06/2021 00:04:12;9;-23.647397;-70.398341;13;01/06/2021 20:47:52;02/06/2021 00:47:52;20;0;0
HYYY88-01/06/2021 20:04:12-10;96711420;77130027;202106;376;104;1;HYYY88;22592252;01/06/2021 20:04:12;02/06/2021 00:04:12;10;-23.648425;-70.391249;0;01/06/2021 21:17:37;02/06/2021 01:17:37;20;0;0
HYYY88-01/06/2021 20:04:12-11;96711420;77130027;202106;376;104;1;HYYY88;22592252;01/06/2021 20:04:12;02/06/2021 00:04:12;11;-23.638919;-70.386425;0;01/06/2021 21:17:37;02/06/2021 01:17:37;20;0;0
HYYY88-01/06/2021 20:04:12-12;96711420;77130027;202106;376;104;1;HYYY88;22592252;01/06/2021 20:04:12;02/06/2021 00:04:12;12;-23.631041;-70.385091;0;01/06/2021 21:17:37;02/06/2021 01:17:37;20;0;0
