IDDE;DNI1;DNI2;PERIODO;ID_SERVI;NOMBRE_SERVI;CODI_SENTI;PATENTE;CODI_EXPE;FECH_CHI;FECH_UTC;POSI_PUNTO;LATITUD;LONGITUD;VELOCIDAD;PASO_HORA_CHL;PASO_HORA_UTC;PERIODO_HORA;VALIDA;EXTRA
JJYW74-01/06/2021 06:46:38-1;96711420;77130027;202106;376;104;0;JJYW74;22544398;01/06/2021 06:46:38;01/06/2021 10:46:38;1;-23,550427;-70,386980;16;01/06/2021 06:46:38;01/06/2021 10:46:38;06;1;0
JJYW74-01/06/2021 06:46:38-2;96711420;77130027;202106;376;104;0;JJYW74;22544398;01/06/2021 06:46:38;01/06/2021 10:46:38;2;-23,559572;-70,391198;44;01/06/2021 06:50:38;01/06/2021 10:50:38;06;1;0
JJYW74-01/06/2021 09:53:37-29;96711420;77130027;202106;376;104;1;JJYW74;22555617;01/06/2021 09:53:37;01/06/2021 13:53:37;29;-23,554982;-70,391245;58;01/06/2021 09:53:37;01/06/2021 13:53:37;09;1;0
JJYW74-01/06/2021 10:11:40-1;96711420;77130027;202106;376;104;0;JJYW74;22556700;01/06/2021 10:11:40;01/06/2021 14:11:40;1;-23,550445;-70,386672;28;01/06/2021 10:11:40;01/06/2021 14:11:40;10;1;0
JJYW74-01/06/2021 11:46:20-1;96711420;77130027;202106;376;104;1;JJYW74;22562380;01/06/2021 11:46:20;01/06/2021 15:46:20;1;-23,734895;-70,440285;0;01/06/2021 11:46:20;01/06/2021 15:46:20;11;0;0
JJYW74-01/06/2021 11:46:20-2;96711420;77130027;202106;376;104;1;JJYW74;22562380;01/06/2021 11:46:20;01/06/2021 15:46:20;2;-23,702015;-70,423397;53;01/06/2021 11:53:04;01/06/2021 15:53:04;11;0;0
JJYW74-01/06/2021 11:46:20-29;96711420;77130027;202106;376;104;1;JJYW74;22562380;01/06/2021 11:46:20;01/06/2021 15:46:20;29;-23,554982;-70,391275;38;01/06/2021 13:21:05;01/06/2021 17:21:05;11;0;0
JJYW74-01/06/2021 13:46:33-1;96711420;77130027;202106;376;104;0;JJYW74;22569593;01/06/2021 13:46:33;01/06/2021 17:46:33;1;-23,550492;-70,387243;0;01/06/2021 13:46:33;01/06/2021 17:46:33;13;1;0
JJYW74-01/06/2021 13:46:33-18;96711420;77130027;202106;376;104;0;JJYW74;22569593;01/06/2021 13:46:33;01/06/2021 17:46:33;18;-23,734092;-70,439837;56;01/06/2021 15:11:33;01/06/2021 19:11:33;13;1;0
JJYW74-01/06/2021 15:27:03-2;96711420;77130027;202106;376;104;1;JJYW74;22575623;01/06/2021 15:27:03;01/06/2021 19:27:03;2;-23,702375;-70,423505;45;01/06/2021 15:27:03;01/06/2021 19:27:03;15;1;0
JJYW74-01/06/2021 15:27:03-29;96711420;77130027;202106;376;104;1;JJYW74;22575623;01/06/2021 15:27:03;01/06/2021 19:27:03;29;-23,555813;-70,391220;8;01/06/2021 16:58:04;01/06/2021 20:58:04;15;1;0
JJYW74-01/06/2021 17:28:36-1;96711420;77130027;202106;376;104;0;JJYW74;22582916;01/06/2021 17:28:36;01/06/2021 21:28:36;1;-23,550667;-70,388122;27;01/06/2021 17:28:36;01/06/2021 21:28:36;17;1;0
JJYW74-01/06/2021 19:04:30-1;96711420;77130027;202106;376;104;1;JJYW74;22588670;01/06/2021 19:04:30;01/06/2021 23:04:30;1;-23,734308;-70,440043;54;01/06/2021 19:04:30;01/06/2021 23:04:30;19;1;0
FGVK26-01/06/2021 07:43:33-1;96711420;77130027;202106;376;104;0;FGVK26;22547813;01/06/2021 07:43:33;01/06/2021 11:43:33;1;-23,550492;-70,387385;17;01/06/2021 07:43:33;01/06/2021 11:43:33;07;0;0
FGVK26-01/06/2021 07:43:33-2;96711420;77130027;202106;376;104;0;FGVK26;22547813;01/06/2021 07:43:33;01/06/2021 11:43:33;2;-23,559290;-70,391223;32;01/06/2021 07:47:03;01/06/2021 11:47:03;07;0;0
FGVK26-01/06/2021 07:43:33-18;96711420;77130027;202106;376;104;0;FGVK26;22547813;01/06/2021 07:43:33;01/06/2021 11:43:33;18;-23,734317;-70,440015;51;01/06/2021 09:08:07;01/06/2021 13:08:07;07;0;0
FGVK26-01/06/2021 09:17:34-1;96711420;77130027;202106;376;104;1;FGVK26;22553454;01/06/2021 09:17:34;01/06/2021 13:17:34;1;-23,734568;-70,440160;47;01/06/2021 09:17:34;01/06/2021 13:17:34;09;1;0
FGVK26-01/06/2021 09:17:34-29;96711420;77130027;202106;376;104;1;FGVK26;22553454;01/06/2021 09:17:34;01/06/2021 13:17:34;29;-23,555100;-70,391260;24;01/06/2021 10:52:39;01/06/2021 14:52:39;09;1;0
FGVK26-01/06/2021 11:13:30-1;96711420;77130027;202106;376;104;0;FGVK26;22560410;01/06/2021 11:13:30;01/06/2021 15:13:30;1;-23,550493;-70,387442;15;01/06/2021 11:13:30;01/06/2021 15:13:30;11;0;0
FGVK26-01/06/2021 11:13:30-2;96711420;77130027;202106;376;104;0;FGVK26;22560410;01/06/2021 11:13:30;01/06/2021 15:13:30;2;-23,559287;-70,391227;39;01/06/2021 11:15:39;01/06/2021 15:15:39;11;0;0
FGVK26-01/06/2021 11:13:30-18;96711420;77130027;202106;376;104;0;FGVK26;22560410;01/06/2021 11:13:30;01/06/2021 15:13:30;18;-23,735020;-70,440385;40;01/06/2021 12:37:04;01/06/2021 16:37:04;11;0;0
FGVK26-01/06/2021 12:43:45-1;96711420;77130027;202106;376;104;1;FGVK26;22565825;01/06/2021 12:43:45;01/06/2021 16:43:45;1;-23,735555;-70,440490;34;01/06/2021 12:43:45;01/06/2021 16:43:45;12;1;0
FGVK26-01/06/2021 12:43:45-29;96711420;77130027;202106;376;104;1;FGVK26;22565825;01/06/2021 12:43:45;01/06/2021 16:43:45;29;-23,554638;-70,391242;47;01/06/2021 14:19:39;01/06/2021 18:19:39;12;1;0
FGVK26-01/06/2021 14:41:01-1;96711420;77130027;202106;376;104;0;FGVK26;22572861;01/06/2021 14:41:01;01/06/2021 18:41:01;1;-23,550450;-70,386755;19;01/06/2021 14:41:01;01/06/2021 18:41:01;14;0;0
FGVK26-01/06/2021 14:41:01-2;96711420;77130027;202106;376;104;0;FGVK26;22572861;01/06/2021 14:41:01;01/06/2021 18:41:01;2;-23,558882;-70,391207;51;01/06/2021 14:44:00;01/06/2021 18:44:00;14;0;0
FGVK26-01/06/2021 14:41:01-18;96711420;77130027;202106;376;104;0;FGVK26;22572861;01/06/2021 14:41:01;01/06/2021 18:41:01;18;-23,734523;-70,440188;24;01/06/2021 16:01:43;01/06/2021 20:01:43;14;0;0
FGVK26-01/06/2021 16:10:33-1;96711420;77130027;202106;376;104;1;FGVK26;22578233;01/06/2021 16:10:33;01/06/2021 20:10:33;1;-23,735193;-70,440427;19;01/06/2021 16:10:33;01/06/2021 20:10:33;16;1;0
HYYY88-01/06/2021 11:20:30-1;96711420;77130027;202106;376;104;0;HYYY88;22560830;01/06/2021 11:20:30;01/06/2021 15:20:30;1;-23,550472;-70,386798;29;01/06/2021 11:20:30;01/06/2021 15:20:30;11;1;0
HYYY88-01/06/2021 11:20:30-18;96711420;77130027;202106;376;104;0;HYYY88;22560830;01/06/2021 11:20:30;01/06/2021 15:20:30;18;-23,734227;-70,439843;38;01/06/2021 12:47:32;01/06/2021 16:47:32;11;1;0
HYYY88-01/06/2021 13:00:30-2;96711420;77130027;202106;376;104;1;HYYY88;22566830;01/06/2021 13:00:30;01/06/2021 17:00:30;2;-23,703003;-70,423718;8;01/06/2021 13:00:30;01/06/2021 17:00:30;13;1;0
HYYY88-01/06/2021 14:51:00-1;96711420;77130027;202106;376;104;0;HYYY88;22573460;01/06/2021 14:51:00;01/06/2021 18:51:00;1;-23,550312;-70,386702;26;01/06/2021 14:51:00;01/06/2021 18:51:00;14;1;0
HYYY88-01/06/2021 14:51:00-2;96711420;77130027;202106;376;104;0;HYYY88;22573460;01/06/2021 14:51:00;01/06/2021 18:51:00;2;-23,560210;-70,391142;37;01/06/2021 14:55:02;01/06/2021 18:55:02;14;1;0
HYYY88-01/06/2021 16:24:02-1;96711420;77130027;202106;376;104;1;HYYY88;22579042;01/06/2021 16:24:02;01/06/2021 20:24:02;1;-23,735252;-70,440410;24;01/06/2021 16:24:02;01/06/2021 20:24:02;16;1;0
HYYY88-01/06/2021 18:23:00-1;96711420;77130027;202106;376;104;0;HYYY88;22586180;01/06/2021 18:23:00;01/06/2021 22:23:00;1;-23,550505;-70,386810;14;01/06/2021 18:23:00;01/06/2021 22:23:00;18;1;0
HYYY88-01/06/2021 18:23:00-2;96711420;77130027;202106;376;104;0;HYYY88;22586180;01/06/2021 18:23:00;01/06/2021 22:23:00;2;-23,559448;-70,391225;27;01/06/2021 18:28:03;01/06/2021 22:28:03;18;1;0
GWZK23-01/06/2021 07:06:31-18;96711420;77130027;202106;376;104;0;GWZK23;22545591;01/06/2021 07:06:31;01/06/2021 11:06:31;18;-23,734232;-70,439962;50;01/06/2021 07:06:31;01/06/2021 11:06:31;07;1;0
GWZK23-01/06/2021 09:05:35-1;96711420;77130027;202106;376;104;0;GWZK23;22552735;01/06/2021 09:05:35;01/06/2021 13:05:35;1;-23,550447;-70,386798;18;01/06/2021 09:05:35;01/06/2021 13:05:35;09;0;0
GWZK23-01/06/2021 09:05:35-2;96711420;77130027;202106;376;104;0;GWZK23;22552735;01/06/2021 09:05:35;01/06/2021 13:05:35;2;-23,559940;-70,391187;40;01/06/2021 09:09:35;01/06/2021 13:09:35;09;0;0
GWZK23-01/06/2021 09:05:35-18;96711420;77130027;202106;376;104;0;GWZK23;22552735;01/06/2021 09:05:35;01/06/2021 13:05:35;18;-23,734128;-70,439892;36;01/06/2021 10:32:36;01/06/2021 14:32:36;09;0;0
GWZK23-01/06/2021 10:41:37-1;96711420;77130027;202106;376;104;1;GWZK23;22558497;01/06/2021 10:41:37;01/06/2021 14:41:37;1;-23,734443;-70,440065;44;01/06/2021 10:41:37;01/06/2021 14:41:37;10;1;0
GWZK23-01/06/2021 10:41:37-29;96711420;77130027;202106;376;104;1;GWZK23;22558497;01/06/2021 10:41:37;01/06/2021 14:41:37;29;-23,555893;-70,391192;62;01/06/2021 12:19:06;01/06/2021 16:19:06;10;1;0
GWZK23-01/06/2021 12:46:07-1;96711420;77130027;202106;376;104;0;GWZK23;22565967;01/06/2021 12:46:07;01/06/2021 16:46:07;1;-23,550523;-70,387400;12;01/06/2021 12:46:07;01/06/2021 16:46:07;12;1;0
GWZK23-01/06/2021 12:46:07-2;96711420;77130027;202106;376;104;0;GWZK23;22565967;01/06/2021 12:46:07;01/06/2021 16:46:07;2;-23,559452;-70,391243;30;01/06/2021 12:49:37;01/06/2021 16:49:37;12;1;0
GWZK23-01/06/2021 14:27:05-2;96711420;77130027;202106;376;104;1;GWZK23;22572025;01/06/2021 14:27:05;01/06/2021 18:27:05;2;-23,702343;-70,423505;55;01/06/2021 14:27:05;01/06/2021 18:27:05;14;1;0
GWZK23-01/06/2021 14:27:05-29;96711420;77130027;202106;376;104;1;GWZK23;22572025;01/06/2021 14:27:05;01/06/2021 18:27:05;29;-23,555752;-70,391200;34;01/06/2021 15:57:39;01/06/2021 19:57:39;14;1;0
GWZK23-01/06/2021 16:16:36-1;96711420;77130027;202106;376;104;0;GWZK23;22578596;01/06/2021 16:16:36;01/06/2021 20:16:36;1;-23,550518;-70,387585;8;01/06/2021 16:16:36;01/06/2021 20:16:36;16;1;0
GWZK23-01/06/2021 17:51:31-1;96711420;77130027;202106;376;104;1;GWZK23;22584291;01/06/2021 17:51:31;01/06/2021 21:51:31;1;-23,734345;-70,440003;47;01/06/2021 17:51:31;01/06/2021 21:51:31;17;1;0
GWZK23-01/06/2021 17:51:31-29;96711420;77130027;202106;376;104;1;GWZK23;22584291;01/06/2021 17:51:31;01/06/2021 21:51:31;29;-23,555023;-70,391220;65;01/06/2021 19:33:30;01/06/2021 23:33:30;17;1;0
FCVW21-01/06/2021 08:27:00-1;96711420;77130027;202106;376;104;0;FCVW21;22550420;01/06/2021 08:27:00;01/06/2021 12:27:00;1;-23,550440;-70,386742;33;01/06/2021 08:27:00;01/06/2021 12:27:00;08;1;0
FCVW21-01/06/2021 08:27:00-2;96711420;77130027;202106;376;104;0;FCVW21;22550420;01/06/2021 08:27:00;01/06/2021 12:27:00;2;-23,558887;-70,391135;26;01/06/2021 08:29:31;01/06/2021 12:29:31;08;1;0
FCVW21-01/06/2021 09:58:39-1;96711420;77130027;202106;376;104;1;FCVW21;22555919;01/06/2021 09:58:39;01/06/2021 13:58:39;1;-23,735662;-70,440572;26;01/06/2021 09:58:39;01/06/2021 13:58:39;09;1;0
FCVW21-01/06/2021 12:11:04-1;96711420;77130027;202106;376;104;0;FCVW21;22563864;01/06/2021 12:11:04;01/06/2021 16:11:04;1;-23,550487;-70,386765;34;01/06/2021 12:11:04;01/06/2021 16:11:04;12;1;0
FCVW21-01/06/2021 13:43:07-1;96711420;77130027;202106;376;104;1;FCVW21;22569387;01/06/2021 13:43:07;01/06/2021 17:43:07;1;-23,735253;-70,440422;35;01/06/2021 13:43:07;01/06/2021 17:43:07;13;0;0
FCVW21-01/06/2021 13:43:07-2;96711420;77130027;202106;376;104;1;FCVW21;22569387;01/06/2021 13:43:07;01/06/2021 17:43:07;2;-23,701880;-70,423325;0;01/06/2021 13:50:30;01/06/2021 17:50:30;13;0;0
FCVW21-01/06/2021 13:43:07-29;96711420;77130027;202106;376;104;1;FCVW21;22569387;01/06/2021 13:43:07;01/06/2021 17:43:07;29;-23,556232;-70,391222;57;01/06/2021 15:22:30;01/06/2021 19:22:30;13;0;0
FCVW21-01/06/2021 15:37:31-1;96711420;77130027;202106;376;104;0;FCVW21;22576251;01/06/2021 15:37:31;01/06/2021 19:37:31;1;-23,550647;-70,388073;28;01/06/2021 15:37:31;01/06/2021 19:37:31;15;1;0
FCVW21-01/06/2021 15:37:31-18;96711420;77130027;202106;376;104;0;FCVW21;22576251;01/06/2021 15:37:31;01/06/2021 19:37:31;18;-23,733987;-70,439760;43;01/06/2021 17:02:06;01/06/2021 21:02:06;15;1;0
